SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
050,10,005,Delaware,Sussex County,3,10,13947,6833,7114,5648,5872,942,992,94,62,78,104,5,4,66,80,5698,5938,971,1031,137,109,91,114,6,9,6474,6792,5358,5614,917,964,64,42,74,101,2,1,59,70,5402,5672,943,996,103,85,86,110,3,4,359,322,290,258,25,28,30,20,4,3,3,3,7,10,296,266,28,35,34,24,5,4,3,5
050,10,005,Delaware,Sussex County,3,11,14496,6935,7561,5848,6368,886,1004,74,42,72,83,4,5,51,59,5884,6411,907,1035,106,80,83,93,9,7,6673,7345,5633,6188,868,987,54,33,68,80,2,3,48,54,5668,6229,887,1014,84,69,78,87,7,5,262,216,215,180,18,17,20,9,4,3,2,2,3,5,216,182,20,21,22,11,5,6,2,2
050,10,005,Delaware,Sussex County,3,12,14507,6769,7738,5906,6769,724,814,52,42,43,63,3,1,41,49,5939,6805,740,838,80,74,49,69,4,4,6584,7575,5746,6623,712,808,44,37,42,62,1,0,39,45,5777,6655,727,830,71,66,48,68,2,3,185,163,160,146,12,6,8,5,1,1,2,1,2,4,162,150,13,8,9,8,1,1,2,1
050,10,005,Delaware,Sussex County,3,13,15872,7482,8390,6792,7606,560,637,39,39,51,58,2,4,38,46,6820,7641,574,651,70,74,57,64,2,8,7353,8265,6676,7498,551,630,37,34,51,56,1,3,37,44,6703,7532,564,644,68,68,57,61,1,6,129,125,116,108,9,7,2,5,0,2,1,1,1,2,117,109,10,7,2,6,0,3,1,2
050,10,005,Delaware,Sussex County,3,14,14022,6679,7343,6155,6751,420,483,36,23,34,49,2,1,32,36,6183,6779,426,497,61,51,38,54,5,5,6583,7259,6073,6671,416,480,31,23,33,49,0,1,30,35,6099,6698,422,493,54,50,37,54,3,5,96,84,82,80,4,3,5,0,1,0,2,0,2,1,84,81,4,4,7,1,1,0,2,0
050,10,005,Delaware,Sussex County,3,15,10454,5031,5423,4664,5000,273,340,26,31,37,29,2,0,29,23,4686,5018,283,346,45,48,44,34,6,2,4960,5355,4599,4937,270,336,26,31,37,29,0,0,28,22,4620,4955,280,342,44,47,44,33,4,2,71,68,65,63,3,4,0,0,0,0,2,0,1,1,66,63,3,4,1,1,0,1,2,0
050,10,005,Delaware,Sussex County,3,16,7612,3632,3980,3398,3631,189,280,13,24,16,23,0,1,16,21,3411,3645,195,288,26,40,18,25,1,3,3592,3939,3362,3593,187,279,12,23,16,23,0,1,15,20,3375,3606,192,286,24,39,18,25,1,3,40,41,36,38,2,1,1,1,0,0,0,0,1,1,36,39,3,2,2,1,0,0,0,0
050,10,005,Delaware,Sussex County,3,17,5164,2333,2831,2184,2583,120,214,9,12,9,12,3,0,8,10,2191,2591,123,217,14,18,11,14,3,1,2312,2802,2164,2554,119,214,9,12,9,12,3,0,8,10,2171,2562,122,217,14,18,11,14,3,1,21,29,20,29,1,0,0,0,0,0,0,0,0,0,20,29,1,0,0,0,0,0,0,0
050,10,005,Delaware,Sussex County,3,18,4183,1386,2797,1257,2556,117,206,3,14,3,6,0,1,6,14,1261,2567,120,211,8,24,3,8,2,3,1370,2768,1243,2529,116,205,3,14,3,6,0,1,5,13,1247,2540,119,209,7,24,3,7,1,2,16,29,14,27,1,1,0,0,0,0,0,0,1,1,14,27,1,2,1,0,0,1,1,1
050,10,005,Delaware,Sussex County,4,0,200353,97709,102644,80599,84687,12679,13431,1399,1193,1035,1148,142,115,1855,2070,82232,86507,13902,14800,1991,1902,1337,1454,217,188,88247,94433,72976,78152,12111,12914,505,443,980,1099,40,34,1635,1791,74419,79729,13194,14099,1018,1045,1244,1370,102,92,9462,8211,7623,6535,568,517,894,750,55,49,102,81,220,279,7813,6778,708,701,973,857,93,84,115,96
050,10,005,Delaware,Sussex County,4,1,11553,5893,5660,4232,4047,1071,1031,127,116,68,48,10,8,385,410,4589,4431,1375,1357,189,191,126,101,20,17,4609,4395,3162,3016,1020,973,21,15,57,45,6,1,343,345,3482,3340,1296,1252,69,70,107,92,13,8,1284,1265,1070,1031,51,58,106,101,11,3,4,7,42,65,1107,1091,79,105,120,121,19,9,7,9
050,10,005,Delaware,Sussex County,4,2,11249,5749,5500,4168,3940,1013,987,141,135,75,89,20,13,332,336,4478,4250,1274,1240,202,203,122,141,27,19,4668,4470,3317,3143,949,917,30,27,67,85,3,4,302,294,3600,3414,1188,1142,81,79,110,132,10,9,1081,1030,851,797,64,70,111,108,8,4,17,9,30,42,878,836,86,98,121,124,12,9,17,10
050,10,005,Delaware,Sussex County,4,3,10904,5534,5370,4082,3926,1027,1001,83,69,79,81,5,8,258,285,4316,4183,1218,1214,145,138,116,121,10,16,4809,4664,3517,3391,956,931,29,11,78,79,0,0,229,252,3725,3619,1127,1125,83,63,110,114,5,7,725,706,565,535,71,70,54,58,1,2,5,8,29,33,591,564,91,89,62,75,6,7,5,9
050,10,005,Delaware,Sussex County,4,4,10892,5583,5309,4173,3915,1067,1024,80,78,63,77,5,9,195,206,4348,4098,1207,1162,131,144,96,108,12,17,4890,4726,3631,3475,1000,980,29,19,57,73,1,2,172,177,3787,3636,1123,1098,76,74,86,99,6,7,693,583,542,440,67,44,51,59,6,4,4,7,23,29,561,462,84,64,55,70,10,9,6,10
050,10,005,Delaware,Sussex County,4,5,10389,5352,5037,4036,3821,997,913,121,110,74,58,14,9,110,126,4129,3931,1066,988,161,154,96,82,20,15,4493,4405,3359,3338,943,880,19,25,73,51,6,2,93,109,3437,3432,1004,945,52,62,91,75,10,7,859,632,677,483,54,33,102,85,1,7,8,7,17,17,692,499,62,43,109,92,5,7,10,8
050,10,005,Delaware,Sussex County,4,6,10815,5519,5296,4305,4087,875,883,173,122,58,83,21,13,87,108,4377,4180,927,950,205,163,72,102,25,15,4401,4447,3436,3418,817,837,25,19,49,77,2,4,72,92,3494,3497,859,894,51,55,63,93,6,6,1118,849,869,669,58,46,148,103,9,6,19,9,15,16,883,683,68,56,154,108,9,9,19,9
